Date,Close
9/23/2018,127.67
9/24/2018,126.18
9/25/2018,126.24
9/26/2018,126.16
9/27/2018,124.94
9/28/2018,125.73
9/29/2018,123.68
9/30/2018,119.84
10/1/2018,123.16
10/2/2018,125.83
10/3/2018,127.82
10/4/2018,131.4
10/5/2018,132.6
10/6/2018,132.1
10/7/2018,131.49
10/8/2018,132.32
10/9/2018,132.45
10/10/2018,132.85
10/11/2018,135.16
10/12/2018,135.69
10/13/2018,136.95
10/14/2018,136.97
10/15/2018,137.78
10/16/2018,133.43
10/17/2018,133.93
10/18/2018,134.15
10/19/2018,133.96
10/20/2018,135.68
10/21/2018,136.58
10/22/2018,137.46
10/23/2018,137.06
10/24/2018,136.96
10/25/2018,136.46
10/26/2018,137.85
10/27/2018,138.4
10/28/2018,138.9
10/29/2018,138.9
10/30/2018,137.08
10/31/2018,136.27
11/1/2018,136.42
11/2/2018,136.62
11/3/2018,138.43
11/4/2018,139.29
11/5/2018,140.72
11/6/2018,140.19
11/7/2018,141.34
11/8/2018,141.03
11/9/2018,140.35
11/10/2018,136.27
11/11/2018,138.06
11/12/2018,136.9
11/13/2018,132.21
11/14/2018,134.69
11/15/2018,135.28
11/16/2018,138.89
11/17/2018,137.71
11/18/2018,135.79
11/19/2018,138.6
11/20/2018,133.98
11/21/2018,133.68
11/22/2018,136.13
11/23/2018,138.41
11/24/2018,137.26
11/25/2018,138.79
11/26/2018,137.78
11/27/2018,133.39
11/28/2018,135.45
11/29/2018,135.74
11/30/2018,135.56
12/1/2018,138.12
12/2/2018,137.86
12/3/2018,136.04
12/4/2018,137.63
12/5/2018,140.05
12/6/2018,139.1
12/7/2018,137.52
12/8/2018,136.08
12/9/2018,136.12
12/10/2018,137.52
12/11/2018,137.32
12/12/2018,136.33
12/13/2018,137.39
12/14/2018,138.52
12/15/2018,141.07
12/16/2018,139.44
12/17/2018,139.14
12/18/2018,137.38
12/19/2018,139.36
12/20/2018,139.54
12/21/2018,137.73
12/22/2018,139.03
12/23/2018,137.07
12/24/2018,134.65
12/25/2018,136.28
12/26/2018,138.12
12/27/2018,137.12
12/28/2018,135.67
12/29/2018,138.24
12/30/2018,139.1
12/31/2018,139.68
